──────────────────────────────────────────────────────────────────────────
INFOMED Fetch Details by MED_ID — parallel HTTP-only
──────────────────────────────────────────────────────────────────────────
  filter:       ervp
  parallel:     3
  rateLimitMs:  300
  resume:       false
  limit:        (no limit)
  dryRun:       false

[1] Listagem carregada: 9656 rows
[2] Cross-match com ERP (Outros Medicamentos)...
(node:12380) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
    ERP keys distintas: 2141
    Cross-match listagem: 5242 de 9656 (54.3%)

[3] Lançar 3 workers para 5242 MED_IDs...
  [w3 #1125] medId=35360 "Claritromicina Basi MG" ATC=J01FA09 CNPs=4   (518ms)
  [w2 #1150] medId=2452 "Dermovate" ATC=D07AD01 CNPs=1   (345ms)
  [w2 #1175] medId=47544 "Clopidogrel Farmoz MG" ATC=B01AC04 CNPs=5   (455ms)
  [w2 #1200] medId=1878 "Cloreto de Potássio 7,45% Brau" ATC=B05XA01 CNPs=4   (351ms)
  [w1 #1225] medId=52018 "Griponal" ATC=N02BE51 CNPs=2   (312ms)
  [w3 #1250] medId=3915 "Gino-Canesten" ATC=G01AF02 CNPs=1   (658ms)
  [w3 #1275] medId=30639 "Maltofer" ATC=B03AB05 CNPs=3   (696ms)
  [w2 #1300] medId=689924 "Dabigatrano etexilato Teva MG" ATC=B01AE07 CNPs=2   (422ms)
  [w2 #1325] medId=48255 "Deflazacorte GP MG" ATC=H02AB13 CNPs=2   (392ms)
  [w2 #1350] medId=47594 "Desmopressina Teva MG" ATC=H01BA02 CNPs=2   (660ms)
  [w2 #1375] medId=2485 "Dexaval Capilar" ATC=D07AB19 CNPs=1   (319ms)
  [w1 #1400] medId=31323 "Bisoltussin Tosse Seca" ATC=R05DA09 CNPs=1   (374ms)
  [w1 #1425] medId=9291 "Voltaren" ATC=M01AB05 CNPs=2   (512ms)
  [w2 #1450] medId=45896 "Qlaira" ATC=G03AB08 CNPs=2   (447ms)
  [w1 #1475] medId=3354 "Fenistil Gel" ATC=D04AA13 CNPs=2   (393ms)
  [w2 #1500] medId=51075 "Donepezilo Ciclum MG" ATC=N06DA02 CNPs=3   (512ms)
  [w3 #1525] medId=54977 "Donepezilo Teva MG" ATC=N06DA02 CNPs=2   (432ms)
  [w1 #1550] medId=50905 "Aranka MG" ATC=G03AA12 CNPs=2   (485ms)
  [w2 #1575] medId=600862 "Duloxetina Pharmakern MG" ATC=N06AX21 CNPs=2   (438ms)
  [w1 #1600] medId=634943 "Dutasterida + Tansulosina Farm" ATC=G04CA52 CNPs=2   (446ms)
  [w3 #1625] medId=30223 "Pevaryl" ATC=D01AC03 CNPs=1   (771ms)
  [w2 #1650] medId=12699 "Lovenox" ATC=B01AB05 CNPs=4   (436ms)
  [w2 #1675] medId=44201 "Cipralex" ATC=N06AB10 CNPs=1   (436ms)
  [w2 #1700] medId=36669 "Estrofem" ATC=G03CA03 CNPs=2   (630ms)
  [w2 #1725] medId=29283 "Microgeste" ATC=G03AA10 CNPs=2   (720ms)
  [w1 #1750] medId=605123 "Etoricoxib Aurovitas MG" ATC=M01AH05 CNPs=1   (403ms)
  [w1 #1775] medId=590074 "Etoricoxib ratiopharm MG" ATC=M01AH05 CNPs=2   (2030ms)
  [w1 #1800] medId=55447 "Ezetimiba Sandoz MG" ATC=C10AX09 CNPs=4   (574ms)
  [w3 #1825] medId=39466 "Fenofibrato Zentiva MG" ATC=C10AB05 CNPs=3   (1097ms)
  [w2 #1850] medId=42598 "Fentanilo Sandoz MG" ATC=N02AB03 CNPs=2   (1039ms)
  [w1 #1875] medId=8351 "Telfast 180" ATC=R06AX26 CNPs=2   (1118ms)
  [w2 #1900] medId=2582 "Diflucan 150" ATC=J02AC01 CNPs=3   (1075ms)
  [w1 #1925] medId=660987 "Fluconazol ratiopharm MG" ATC=J02AC01 CNPs=2   (430ms)
  [w1 #1950] medId=31887 "Strepfen Mel e limão" ATC=R02AX01 CNPs=4   (418ms)
  [w2 #1975] medId=32347 "Maizar Diskus" ATC=R03AK06 CNPs=1   (302ms)
  [w2 #2000] medId=37043 "Fluvoxamina Generis MG" ATC=N06AB08 CNPs=4   (1182ms)
  [w3 #2025] medId=595704 "Fosfomicina Pharmakern MG" ATC=J01XX01 CNPs=2   (888ms)
  [w1 #2050] medId=42196 "Gabapentina Farmoz MG" ATC=N02BF01 CNPs=4   (1191ms)
  [w3 #2075] medId=47470 "Gabapentina Ratiopharm MG" ATC=N02BF01 CNPs=3   (852ms)
  [w2 #2100] medId=648004 "Galantamina Generis MG" ATC=N06DA04 CNPs=1   (411ms)
  [w3 #2125] medId=40784 "Glibenclamida Generis 2,5 mg C" ATC=A10BB01 CNPs=2   (445ms)
  [w3 #2150] medId=47832 "Dolenio" ATC=M01AX05 CNPs=4   (902ms)
  [w3 #2175] medId=6619 "Pandermil" ATC=D07AA02 CNPs=1   (1226ms)
  [w1 #2200] medId=629482 "Brufen Sem Açúcar" ATC=M01AE01 CNPs=2   (475ms)
  [w1 #2225] medId=33787 "Spidifen EF" ATC=M01AE01 CNPs=3   (411ms)
  [w3 #2250] medId=41151 "Indapamida Alter 1,5 mg Compri" ATC=C03BA11 CNPs=5   (395ms)
  [w3 #2275] medId=30583 "NovoMix 30 Penfill" ATC=A10AD05 CNPs=2   (447ms)
  [w2 #2300] medId=4327 "Humalog" ATC=A10AB04 CNPs=2   (559ms)
  [w3 #2325] medId=45139 "Irbesartan Ciclum MG" ATC=C09CA04 CNPs=4   (403ms)
  [w3 #2350] medId=48648 "Irbesartan Tetrafarma MG" ATC=C09CA04 CNPs=6   (456ms)
  [w3 #2375] medId=54759 "Irbesartan + Hidroclorotiazida" ATC=C09DA04 CNPs=2   (736ms)
  [w1 #2400] medId=672844 "Isotiorga MG" ATC=D10BA01 CNPs=4   (464ms)
  [w1 #2425] medId=608262 "Ivabradina toLife MG" ATC=C01EB17 CNPs=2   (461ms)
  [w1 #2450] medId=611764 "Lacosamida ratiopharm MG" ATC=N03AX18 CNPs=4   (1813ms)
  [w1 #2475] medId=4877 "Lamictal" ATC=N03AX09 CNPs=6   (421ms)
  [w2 #2500] medId=35658 "Lansoprazol Farmoz MG" ATC=A02BC03 CNPs=6   (540ms)
  [w3 #2525] medId=33637 "Ogasto" ATC=A02BC03 CNPs=3   (540ms)
  [w1 #2550] medId=51745 "Lercanidipina Alter MG" ATC=C08CA13 CNPs=6   (475ms)
  [w3 #2575] medId=3326 "Femara" ATC=L02BG04 CNPs=3   (387ms)
  [w2 #2600] medId=637202 "Levetiracetam Altan MG" ATC=N03AX14 CNPs=1   (417ms)
  [w3 #2625] medId=52298 "Levetiracetam Farmoz MG" ATC=N03AX14 CNPs=1   (518ms)
  [w1 #2650] medId=56324 "Levetiracetam UCB MG" ATC=N03AX14 CNPs=1   (294ms)
  [w1 #2675] medId=5277 "Madopar" ATC=N04BA02 CNPs=2   (325ms)
  [w1 #2700] medId=34830 "Stalevo" ATC=N04BA03 CNPs=4   (395ms)
  [w2 #2725] medId=39745 "Levofloxacina toLife MG" ATC=J01MA12 CNPs=3   (423ms)
  [w3 #2750] medId=5037 "Lidonostrum" ATC=N01BB02 CNPs=1   (377ms)
  [w1 #2775] medId=35843 "Lisinopril Generis 20 mg Compr" ATC=C09AA03 CNPs=3   (901ms)
  [w3 #2800] medId=36309 "Lisinopril + Hidroclorotiazida" ATC=C09BA03 CNPs=8   (594ms)
  [w3 #2825] medId=39991 "Cozaar Plus" ATC=C09DA01 CNPs=3   (429ms)
  [w1 #2850] medId=38300 "Meloxicam GP 15 mg Comprimidos" ATC=M01AC06 CNPs=4   (416ms)
  [w1 #2875] medId=56412 "Memantina Aurobindo MG" ATC=N06DX01 CNPs=3   (427ms)
  [w1 #2900] medId=56436 "Memantina Tecnigen MG" ATC=N06DX01 CNPs=1   (399ms)
  [w1 #2925] medId=47254 "Salofalk" ATC=A07EC02 CNPs=2   (312ms)
  [w1 #2950] medId=44913 "Janumet" ATC=A10BD07 CNPs=3   (357ms)
  [w3 #2975] medId=622225 "Metilfenidato Ciclum MG" ATC=N06BA04 CNPs=1   (817ms)
  [w3 #3000] medId=32229 "Ritalina LA" ATC=N06BA04 CNPs=2   (400ms)
  [w2 #3025] medId=56023 "Metex PEN" ATC=L04AX03 CNPs=11   (794ms)
  [w1 #3050] medId=7623 "Rodermil" ATC=D06BX01 CNPs=1   (372ms)
  [w3 #3075] medId=56979 "Betmiga" ATC=G04BD12 CNPs=1   (354ms)
  [w1 #3100] medId=37256 "Mirtazapina Krka MG" ATC=N06AX11 CNPs=12   (558ms)
  [w3 #3125] medId=2291 "Cytotec" ATC=A02BB01 CNPs=2   (417ms)
  [w2 #3150] medId=50544 "Monopront Retard" ATC=C01DA14 CNPs=1   (394ms)
  [w3 #3175] medId=48477 "Montelucaste Sandoz MG" ATC=R03DC03 CNPs=3   (388ms)
  [w1 #3200] medId=19258 "Avelox" ATC=J01MA14 CNPs=9   (522ms)
  [w3 #3225] medId=50161 "Vimovo" ATC=M01AE CNPs=6   (750ms)
  [w1 #3250] medId=34584 "Nicotinell Mint" ATC=N07BA01 CNPs=8   (462ms)
  [w1 #3275] medId=30110 "Epinitril 5" ATC=C01DA02 CNPs=2   (324ms)
  [w2 #3300] medId=52532 "Olanzapina Aurobindo MG" ATC=N05AH03 CNPs=4   (500ms)
  [w1 #3325] medId=45958 "Olanzapina Generis MG" ATC=N05AH03 CNPs=2   (442ms)
  [w3 #3350] medId=43810 "Olanzapina toLife MG" ATC=N05AH03 CNPs=3   (500ms)
